budget,popularity,revenue,runtime,vote_count,has_homepage,release_year,release_month,movie_age,genre_count,keyword_count,company_count,country_count,spoken_language_count,crew_count,director_movie_count,cast_count,main_actor_movie_count,has_budget,has_revenue,profit,profit_ratio,log_budget,log_revenue,original_language_ar,original_language_cn,original_language_cs,original_language_da,original_language_de,original_language_el,original_language_en,original_language_es,original_language_fa,original_language_fr,original_language_he,original_language_hi,original_language_hu,original_language_id,original_language_is,original_language_it,original_language_ja,original_language_ko,original_language_ky,original_language_nb,original_language_nl,original_language_no,original_language_pl,original_language_ps,original_language_pt,original_language_ro,original_language_ru,original_language_sl,original_language_sv,original_language_ta,original_language_te,original_language_th,original_language_tr,original_language_vi,original_language_xx,original_language_zh,release_season_spring,release_season_summer,release_season_winter,main_genre_Adventure,main_genre_Animation,main_genre_Comedy,main_genre_Crime,main_genre_Documentary,main_genre_Drama,main_genre_Family,main_genre_Fantasy,main_genre_Foreign,main_genre_History,main_genre_Horror,main_genre_Music,main_genre_Mystery,main_genre_Romance,main_genre_Science Fiction,main_genre_TV Movie,main_genre_Thriller,main_genre_Unknown,main_genre_War,main_genre_Western,is_highly_rated
270000000,57.925623,391081192,154.0,1400,1,2006.0,6.0,20.0,4,10,4,1,3,24,8,18,2,1,1,121081192,1.4484488592592593,19.413932520666354,19.784425751123838,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,107.928811,586090727,106.0,2965,1,2008.0,10.0,18.0,4,4,1,2,5,17,8,32,8,1,1,386090727,2.930453635,19.11382792951231,20.188985161495555,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,145.847379,1065659812,151.0,5246,1,2006.0,6.0,20.0,3,14,3,4,4,23,7,33,27,1,1,865659812,5.32829906,19.11382792951231,20.78685998699344,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
255000000,49.046956,89289910,149.0,2311,1,2013.0,7.0,13.0,3,13,6,1,1,35,7,60,27,1,1,-165710090,0.35015650980392155,19.35677410704427,18.307399060740746,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
225000000,99.398009,662845518,143.0,6359,1,2013.0,6.0,13.0,4,9,5,2,1,48,7,33,3,1,1,437845518,2.94598008,19.23161096461314,20.312052517984124,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
225000000,53.978602,419651413,150.0,1630,0,2008.0,5.0,18.0,3,12,7,4,1,83,5,21,1,1,1,194651413,1.8651173911111112,19.23161096461314,19.854934957961998,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
220000000,144.448633,1519557910,143.0,11776,1,2012.0,4.0,14.0,3,10,2,1,1,147,3,115,12,1,1,1299557910,6.907081409090909,19.20913810886209,21.14168528147379,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
380000000,135.413856,1045713802,136.0,4948,1,2011.0,5.0,15.0,3,16,3,1,2,39,5,35,27,1,1,665713802,2.7518784263157894,19.755681813316283,20.76796555425219,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
225000000,52.035179,624026776,106.0,4160,1,2012.0,5.0,14.0,3,6,5,1,1,21,7,18,16,1,1,399026776,2.773452337777778,19.23161096461314,20.25170383727199,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
250000000,120.965743,956019788,144.0,4760,1,2014.0,12.0,12.0,3,11,5,2,1,127,9,42,3,1,1,706019788,3.824079152,19.33697147982652,20.678289170592233,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
